Country,Fill,Amount
US,Goldenrod,75
CL,Teal,14
GM,Green,57
PG,Goldenrod,67
CI,Crimson,92
PG,Puce,76
CA,Puce,25
KE,Orange,17
IT,Red,33
VE,Mauv,26
AU,Red,13
SH,Yellow,71
US,Purple,30
CA,Turquoise,86
CA,Crimson,94
US,Aquamarine,59
BW,Purple,24
CN,Blue,61
KE,Yellow,40
BR,Blue,2
US,Red,24
AU,Orange,57
AU,Khaki,24
BR,Orange,84
US,Green,96
CO,Goldenrod,96
TL,Crimson,48
ID,Aquamarine,96
PG,Puce,25
PG,Yellow,26
PL,Fuscia,33
US,Crimson,66
US,Goldenrod,61
HN,Maroon,85
DZ,Goldenrod,88
NI,Aquamarine,83
IQ,Maroon,87
CN,Orange,83
CA,Goldenrod,97
AU,Violet,93
DZ,Aquamarine,49
AF,Red,32
AR,Red,57
AU,Aquamarine,22
CA,Khaki,10
FR,Red,3
BR,Goldenrod,33
IS,Violet,27
US,Green,51
CA,Yellow,63
